"Gemeindenummer","Gemeindename","Fläche","Einwohner","Baulandpreis","Grünlandpreis"
"20302.0","Dellach","36,48","1.219","40,64","2,54"
"20305.0","Hermagor-Pressegger See","205,44","6.887","58,48","2,07"
"20306.0","Kirchbach","99,13","2.495","40,35","1,97"
"20307.0","Kötschach-Mauthen","154,65","3.346","50,88","1,98"
"20316.0","St. Stefan im Gailtal","66,23","1.593","39,00","2,07"
"20320.0","Gitschtal","56,49","1.248","40,73","2,20"
"20321.0","Lesachtal","190,92","1.298","36,10","2,00"
"","","","","",""
"","","","","",""
