;Municipalitynumber;Municipality;Size;Residents;Buildingprice;Grasslandprice
104;40406.0;Eggelsberg;24.13;2462.0;72.0;9.22
105;40407.0;Feldkirchen bei Mattighofen;34.66;201.0;60.71;4.12
106;40408.0;Franking;10.46;1007.0;71.04;8.68
107;40409.0;Geretsberg;37.45;1173.0;50.2;3.17
108;40410.0;Gilgenberg am Weilhart;26.63;1351.0;40.0;4.02
109;40411.0;Haigermoos;7.44;6300.0;78.04;5.0
110;40412.0;Handenberg;27.61;1301.0;51.6;4.22
111;40413.0;Helpfau-Uttendorf;26.35;371.0;42.0;3.67
112;40414.0;Hochburg-Ach;40.11;3263.0;90.0;4.88
113;40415.0;Höhnhart;21.97;144.0;42.51;6.11
114;40416.0;Jeging;6.59;7020.0;69.94;6.18
115;40417.0;Kirchberg bei Mattighofen;15.75;1193.0;84.41;4.13
116;40418.0;Lengau;58.19;4809.0;60.46;5.44
117;40419.0;Lochen am See;33.3;2808.0;91.91;4.13
118;40420.0;Maria Schmolln;34.49;1411.0;45.0;4.24
119;40421.0;Mattighofen;5.15;6924.0;79.05;10.0
120;40422.0;Mauerkirchen;3.08;2531.0;53.1;26.07
121;40423.0;Mining;16.56;1255.0;40.75;4.05
122;40424.0;Moosbach;19.07;1067.0;40.73;6.32
123;40425.0;Moosdorf;15.73;169.0;68.13;7.93
124;40426.0;Munderfing;31.06;3068.0;55.11;5.89
125;40427.0;Neukirchen an der Enknach;33.2;2288.0;46.38;4.89
126;40428.0;Ostermiething;21.84;3277.0;70.83;4.68
127;40429.0;Palting;11.51;9670.0;116.28;4.88
128;40430.0;Perwang am Grabensee;6.82;104.0;115.42;5.18
129;40431.0;Pfaffstätt;9.21;1156.0;65.9;3.86
130;40432.0;Pischelsdorf am Engelbach;32.84;17.0;50.02;4.38
131;40433.0;Polling im Innkreis;15.11;9970.0;39.15;8.0
132;40434.0;Roßbach;14.9;9080.0;38.82;13.59
133;40435.0;St. Georgen am Fillmannsbach;7.2;4190.0;44.56;12.06
134;40436.0;St. Johann am Walde;40.03;2039.0;42.0;3.62
135;40437.0;St. Pantaleon;18.33;3161.0;74.84;4.91
136;40438.0;St. Peter am Hart;22.86;2403.0;72.56;3.69
137;40439.0;St. Radegund;17.89;5900.0;80.0;6.34
138;40440.0;St. Veit im Innkreis;5.37;4050.0;54.63;19.22
139;40441.0;Schalchen;41.13;3986.0;60.0;3.75
140;40442.0;Schwand im Innkreis;17.11;9940.0;42.5;6.36
141;40443.0;Tarsdorf;32.33;2055.0;67.5;4.88
142;40444.0;Treubach;13.06;7230.0;45.4;7.41
143;40445.0;Überackern;27.1;6840.0;59.04;3.7
144;40446.0;Weng im Innkreis;21.35;1374.0;37.63;6.48
145;Datenquelle: IMMOunited GmbH;;;;;
146;80201.0;Alberschwende;21.13;324.0;194.18;3.12
147;80202.0;Andelsbuch;19.58;2639.0;189.6;2.24
148;80203.0;Au;44.96;1767.0;234.32;7.98
149;80204.0;Bezau;34.43;2003.0;210.67;9.92
150;80205.0;Bildstein;9.14;7800.0;322.58;2.66
151;80206.0;Bizau;21.1;1124.0;150.07;2.11
152;80207.0;Bregenz;30.01;29697.0;528.29;2.02
153;80208.0;Buch;6.14;6000.0;160.0;2.38
154;80209.0;Damüls;20.91;3130.0;184.14;8.29
155;80210.0;Doren;14.18;1028.0;131.53;3.83
156;80211.0;Egg;65.36;3601.0;193.57;2.87
157;80212.0;Eichenberg;11.6;4170.0;303.54;3.07
158;80213.0;Fußach;11.93;3921.0;263.37;5.89
159;80214.0;Gaißau;5.8;1835.0;232.36;16.16
160;80215.0;Hard;17.85;13648.0;379.54;10.87
161;80216.0;Hittisau;46.69;2059.0;150.0;2.18
162;80217.0;Höchst;21.02;8116.0;325.43;10.23
163;80218.0;Hörbranz;8.74;6508.0;311.21;6.36
164;80219.0;Hohenweiler;8.43;132.0;285.05;2.46
165;80220.0;Kennelbach;3.22;1942.0;320.04;2.33
166;80221.0;Krumbach;8.71;1041.0;141.86;5.31
167;80222.0;Langen bei Bregenz;21.86;1438.0;160.0;2.86
168;80223.0;Langenegg;10.46;1131.0;121.61;2.74
169;80224.0;Lauterach;11.91;10271.0;404.35;7.63
170;80225.0;Lingenau;6.88;1537.0;165.69;7.15
171;80226.0;Lochau;10.26;6018.0;471.37;3.68
172;80227.0;Mellau;40.58;129.0;207.51;2.56
173;80228.0;Mittelberg;96.88;4989.0;201.06;2.59
174;80229.0;Möggers;11.43;5130.0;116.02;4.53
175;80230.0;Reuthe;10.22;6630.0;129.62;2.56
176;80231.0;Riefensberg;14.85;1064.0;182.12;7.3
177;80232.0;Schnepfau;16.53;4590.0;120.0;2.25
178;80233.0;Schoppernau;47.63;9470.0;206.8;2.51
179;80234.0;Schröcken;23.45;2080.0;160.08;2.94
180;80235.0;Schwarzach;4.91;3939.0;493.36;4.16
181;80236.0;Schwarzenberg;25.79;1819.0;203.22;2.47
182;80237.0;Sibratsgfäll;29.27;4220.0;117.92;2.03
183;80238.0;Sulzberg;23.05;1832.0;244.61;2.64
184;80239.0;Warth;19.32;1670.0;337.5;8.48
185;80240.0;Wolfurt;10.0;8566.0;414.54;5.27
186;;;;;;
187;;;;;;
188;62105.0;Breitenau am Hochlantsch;62.45;166.0;38.61;1.66
189;62115.0;Krieglach;93.81;5364.0;53.93;2.39
190;62116.0;Langenwang;75.98;389.0;56.63;2.48
191;62125.0;Pernegg an der Mur;86.05;2357.0;46.41;5.27
